transaction_id,date,category,amount,payment_method,city,is_essential
EXP1069,2025-02-28,Shopping,2995.52,UPI,Hyderabad,No
EXP1070,2025-03-10,Transport,1567.07,UPI,Chennai,Yes
EXP1071,2025-01-09,Transport,1171.63,UPI,Mumbai,Yes
EXP1072,2025-03-11,Bills,977.3,Card,Delhi,Yes
EXP1073,2025-01-02,Bills,2469.6,Cash,Pune,Yes
EXP1074,2025-01-14,Transport,866.95,UPI,Pune,Yes
EXP1075,2025-03-12,Transport,889.81,Card,Bangalore,Yes
EXP1076,2025-02-13,Transport,2093.74,Cash,Delhi,Yes
EXP1077,2025-03-04,Entertainment,2725.48,UPI,Hyderabad,No
EXP1078,2025-03-23,Groceries,2505.11,UPI,Hyderabad,Yes
EXP1079,2025-02-12,Transport,1947.63,Cash,Bangalore,Yes
EXP1080,2025-02-26,Shopping,2146.44,Card,Hyderabad,No
EXP1081,2025-01-15,Food,2840.65,Card,Bangalore,Yes
EXP1082,2025-03-11,Food,2520.33,Card,Delhi,Yes
EXP1083,2025-01-19,Groceries,469.59,Cash,Chennai,Yes
EXP1084,2025-01-06,Entertainment,709.22,UPI,Pune,No
EXP1085,2025-01-14,Entertainment,2362.34,Cash,Delhi,No
EXP1086,2025-01-20,Transport,2607.36,UPI,Mumbai,Yes
EXP1087,2025-01-04,Transport,2236.04,Cash,Mumbai,Yes
EXP1088,2025-03-27,Bills,2451.17,Cash,Bangalore,Yes
EXP1089,2025-03-31,Food,1209.37,UPI,Mumbai,Yes
EXP1090,2025-01-29,Transport,2468.1,Cash,Chennai,Yes
EXP1091,2025-02-09,Transport,746.48,Card,Bangalore,Yes
EXP1092,2025-02-21,Entertainment,907.95,UPI,Chennai,No
EXP1093,2025-02-14,Bills,1577.28,Card,Delhi,Yes
EXP1094,2025-02-12,Food,434.49,Cash,Bangalore,Yes
EXP1095,2025-03-16,Entertainment,210.95,Card,Mumbai,No
EXP1096,2025-02-14,Bills,2380.64,Cash,Delhi,Yes
EXP1097,2025-03-07,Food,1217.07,Card,Bangalore,Yes
EXP1098,2025-02-02,Food,2155.48,UPI,Delhi,Yes
EXP1099,2025-03-10,Bills,2186.35,Card,Pune,Yes
EXP1100,2025-03-27,Transport,1156.24,UPI,Pune,Yes
EXP1101,2025-02-12,Shopping,1010.36,UPI,Pune,No
EXP1102,2025-02-08,Shopping,996.93,Cash,Chennai,No
EXP1103,2025-02-21,Bills,957.4,UPI,Bangalore,Yes
EXP1104,2025-02-23,Bills,2827.05,Card,Pune,Yes
EXP1105,2025-01-23,Shopping,1750.41,Cash,Delhi,No
EXP1106,2025-01-01,Entertainment,932.05,Cash,Delhi,No
EXP1107,2025-03-19,Bills,1034.52,Cash,Mumbai,Yes
EXP1108,2025-03-28,Transport,1582.4,Card,Bangalore,Yes
EXP1109,2025-03-26,Food,922.98,Card,Pune,Yes
EXP1110,2025-03-21,Entertainment,370.82,UPI,Pune,No
EXP1111,2025-02-09,Transport,2439.03,UPI,Hyderabad,Yes
EXP1112,2025-01-06,Transport,2953.41,Card,Hyderabad,Yes
EXP1113,2025-02-28,Groceries,2669.8,Card,Bangalore,Yes
EXP1114,2025-03-31,Groceries,1533.69,UPI,Bangalore,Yes
EXP1115,2025-03-25,Bills,116.08,UPI,Mumbai,Yes
EXP1116,2025-01-29,Transport,2431.92,Card,Delhi,Yes
EXP1117,2025-03-01,Food,1716.48,UPI,Mumbai,Yes
EXP1118,2025-01-18,Groceries,2035.98,Card,Delhi,Yes
EXP1119,2025-02-10,Groceries,1876.69,Card,Delhi,Yes
EXP1120,2025-02-24,Shopping,1393.15,UPI,Pune,No
EXP1121,2025-03-02,Groceries,851.66,UPI,Pune,Yes
EXP1122,2025-02-05,Shopping,1505.33,UPI,Chennai,No
EXP1123,2025-02-26,Food,2169.28,UPI,Chennai,Yes
EXP1124,2025-02-12,Entertainment,2689.78,UPI,Bangalore,No
EXP1125,2025-01-20,Transport,1210.8,UPI,Pune,Yes
EXP1126,2025-01-28,Food,1303.12,Cash,Delhi,Yes
EXP1127,2025-03-01,Groceries,280.57,Cash,Mumbai,Yes
EXP1128,2025-03-16,Bills,156.64,Card,Mumbai,Yes
EXP1129,2025-03-03,Food,2833.95,Cash,Mumbai,Yes
EXP1130,2025-02-23,Shopping,2267.8,Card,Delhi,No
EXP1131,2025-01-29,Groceries,736.32,Cash,Mumbai,Yes
EXP1132,2025-01-04,Groceries,1074.78,Card,Mumbai,Yes
EXP1133,2025-01-22,Groceries,2766.67,Card,Delhi,Yes
EXP1134,2025-01-04,Groceries,1816.49,Card,Hyderabad,Yes
EXP1135,2025-01-11,Bills,1342.98,Cash,Bangalore,Yes
EXP1136,2025-01-07,Entertainment,1199.4,UPI,Mumbai,No
EXP1137,2025-02-11,Entertainment,2307.57,Cash,Chennai,No
EXP1138,2025-02-23,Entertainment,2521.24,Cash,Hyderabad,No
EXP1139,2025-03-11,Food,2999.73,Cash,Bangalore,Yes
EXP1140,2025-03-25,Food,2365.58,Card,Hyderabad,Yes
EXP1141,2025-01-04,Transport,678.15,UPI,Delhi,Yes
EXP1142,2025-01-20,Transport,466.04,Card,Hyderabad,Yes
EXP1143,2025-03-14,Transport,1448.6,Cash,Chennai,Yes
EXP1144,2025-01-22,Shopping,1861.02,Card,Pune,No
EXP1145,2025-01-15,Transport,2897.69,UPI,Delhi,Yes
EXP1146,2025-01-04,Entertainment,1769.81,Cash,Mumbai,No
EXP1147,2025-01-26,Food,1817.08,Card,Bangalore,Yes
EXP1148,2025-01-14,Bills,2340.19,Card,Delhi,Yes
EXP1149,2025-01-16,Shopping,2369.64,Cash,Delhi,No
EXP1150,2025-02-24,Bills,1174.66,Card,Pune,Yes
EXP1151,2025-02-13,Food,2563.77,Cash,Hyderabad,Yes
EXP1152,2025-02-25,Entertainment,1943.2,Cash,Pune,No
EXP1153,2025-01-20,Groceries,610.8,Card,Pune,Yes
EXP1154,2025-02-04,Shopping,2443.78,Card,Mumbai,No
EXP1155,2025-03-01,Groceries,2494.63,Card,Chennai,Yes
EXP1156,2025-02-11,Transport,2509.12,UPI,Chennai,Yes
EXP1157,2025-02-27,Transport,2276.38,Card,Delhi,Yes
EXP1158,2025-03-27,Groceries,1075.55,Cash,Chennai,Yes
EXP1159,2025-01-24,Groceries,715.15,Cash,Chennai,Yes
EXP1160,2025-02-05,Shopping,2133.43,Cash,Delhi,No
EXP1161,2025-01-02,Shopping,2849.38,UPI,Bangalore,No
EXP1162,2025-02-22,Groceries,1710.01,UPI,Pune,Yes
EXP1163,2025-03-02,Bills,2164.34,Cash,Hyderabad,Yes
EXP1164,2025-01-12,Entertainment,742.63,Card,Bangalore,No
EXP1165,2025-02-09,Bills,1786.51,Cash,Delhi,Yes
EXP1166,2025-03-09,Entertainment,1333.96,Card,Delhi,No
EXP1167,2025-02-12,Entertainment,2138.28,Cash,Chennai,No
EXP1168,2025-02-02,Transport,449.9,UPI,Chennai,Yes
EXP1169,2025-01-16,Bills,1654.01,Card,Bangalore,Yes
EXP1170,2025-01-25,Transport,2241.95,Cash,Pune,Yes
EXP1171,2025-03-17,Shopping,1830.69,UPI,Bangalore,No
EXP1172,2025-02-07,Transport,1146.56,Cash,Hyderabad,Yes
EXP1173,2025-04-01,Shopping,467.09,UPI,Hyderabad,No
EXP1174,2025-03-12,Entertainment,2122.51,UPI,Pune,No
EXP1175,2025-03-04,Food,2630.89,Card,Chennai,Yes
EXP1176,2025-03-02,Groceries,1377.36,UPI,Hyderabad,Yes
EXP1177,2025-02-02,Groceries,430.85,UPI,Mumbai,Yes
EXP1178,2025-03-04,Food,1773.36,Card,Hyderabad,Yes
EXP1179,2025-01-20,Transport,2452.31,Cash,Hyderabad,Yes
EXP1180,2025-02-01,Food,1718.41,Cash,Delhi,Yes
EXP1181,2025-03-18,Shopping,754.49,Card,Mumbai,No
EXP1182,2025-02-27,Groceries,962.32,Card,Mumbai,Yes
EXP1183,2025-02-09,Shopping,1900.98,Card,Pune,No
EXP1184,2025-01-13,Transport,1913.99,Cash,Pune,Yes
EXP1185,2025-01-11,Transport,795.61,Card,Hyderabad,Yes
EXP1186,2025-01-21,Food,1284.7,Card,Delhi,Yes
EXP1187,2025-03-02,Entertainment,194.66,Cash,Pune,No
EXP1188,2025-02-06,Bills,2592.86,UPI,Pune,Yes
EXP1189,2025-01-30,Entertainment,2384.7,Card,Delhi,No
EXP1190,2025-03-26,Transport,1332.9,Card,Bangalore,Yes
EXP1191,2025-03-24,Transport,2734.39,UPI,Hyderabad,Yes
EXP1192,2025-01-08,Transport,2398.62,Card,Pune,Yes
EXP1193,2025-03-14,Entertainment,1373.55,Cash,Pune,No
EXP1194,2025-02-08,Bills,1267.27,Cash,Delhi,Yes
EXP1195,2025-03-11,Groceries,1369.5,Card,Hyderabad,Yes
EXP1196,2025-02-25,Bills,1034.73,Cash,Hyderabad,Yes
EXP1197,2025-01-12,Transport,2889.54,Card,Delhi,Yes
EXP1198,2025-01-03,Bills,2482.12,Card,Hyderabad,Yes
EXP1199,2025-01-23,Groceries,1605.0,Cash,Chennai,Yes
