transaction_id,date,category,amount,payment_method,city,is_essential
EXP00097,2025-07-08,Healthcare,825.88,Cash,Bengaluru,True
EXP00098,2025-10-05,Travel,769.9,Credit Card,Chennai,False
EXP00099,2025-11-18,Food,515.06,Credit Card,Mumbai,True
EXP00100,2025-01-28,Rent,12405.99,UPI,Hyderabad,True
EXP00001,2025-01-21,Food,373.65,Net Banking,Bengaluru,True
EXP00039,2025-01-15,Food,744.55,UPI,Bengaluru,True
EXP00034,2025-10-28,Subscriptions,624.67,,Hyderabad,False
EXP00088,2025-07-21,Utilities,1592.56,,Bengaluru,True
EXP00017,2025-11-19,Food,216.67,UPI,Chennai,True
EXP00089,2025-11-23,Food,377.61,Cash,Pune,True
EXP00077,2025-10-31,Food,434.4,UPI,,True
EXP00054,2025-01-26,Education,641.29,Debit Card,Chennai,True
EXP00057,2025-10-16,Rent,12926.02,UPI,Hyderabad,True
EXP00015,2025-04-26,Education,4373.17,Credit Card,Chennai,True
EXP00084,2025-10-02,Entertainment,1713.79,Debit Card,Delhi,False
EXP00043,2025-10-12,Subscriptions,496.3,,Chennai,False
